ID,수집일시,기관,제목,주제,전체기간,대상,홈페이지,포스터URL
314408,2026-04-10 23:38,DB김준기문화재단/DB증권,DB증권 2026 제12회 DB GAPS 투자대회,기타학술,시작일2026.04.13마감일2026.05.08,대학생,http://www.dbgaps.com,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
314393,2026-04-10 23:38,행정안전부,제14회 범정부 공공데이터·AI 활용 창업경진대회 공모전,과학/공학기획/아이디어,시작일2026.03.02마감일2026.08.31,대상 제한 없음,https://sotong.go.kr/front/epilogue/epilogueNewViewPage.do?bbs_id=cbe021e3590a4ae5967359fb8525b196,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
313620,2026-04-10 23:38,한국발명진흥회,2026 캠퍼스 특허 유니버시아드 대회 (CPU),기획/아이디어과학/공학,시작일2026.04.03마감일2026.05.28,대학생,-,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
313615,2026-04-10 23:38,서울시의회사무처,[서울특별시의회] 제5회 서울특별시의회 청년 학술 논문 공모전,학술,시작일2026.04.06마감일2026.09.30,대학생,-,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
313553,2026-04-10 23:39,한국장애인재단,2026년 대학생 논문경진대회「장애의 재해석」,학술기타,시작일2026.04.27마감일2026.05.24,대학생,https://kfpd.org/51,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
313490,2026-04-10 23:39,행정안전부,2026년 전국 통합데이터 활용 공모전,과학/공학,시작일2026.04.06마감일2026.04.28,"대학생, 직장인/일반인",-,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
313474,2026-04-10 23:39,대전광역시,대전사이언스 페스티벌 흑백과학자2,전시/페스티벌과학/공학,시작일2026.04.06마감일2026.04.17,대상 제한 없음,-,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
313345,2026-04-10 23:39,공정거래위원회,제2회 공정거래 데이터 활용 공모전,기획/아이디어과학/공학,시작일2026.04.09마감일2026.04.24,"대학생, 직장인/일반인",-,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
313270,2026-04-10 23:40,데이콘 주식회사,[데이콘]월간 해커톤 : 투자 데이터를 시각화하라- Skills 기반 대시보드 설계(~4/30),과학/공학,시작일2026.04.06마감일2026.04.30,대상 제한 없음,https://daker.ai/public/hackathons/hackathon-investment-data-skills-dashboard,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
313266,2026-04-10 23:40,대학산업기술지원단,2026 적정기술 기반 청년 창업 글로벌 실증 지원사업,창업과학/공학,시작일2026.03.09마감일2026.04.17,"대학생, 직장인/일반인",https://unitef.org,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
